Date,Close,High,Low,Open,Simple_Return,Log_Return,Price_Change,Daily_Range,Pct_Range,Rolling_Mean_20,Rolling_STD_20,Z_Score_20,Raw_Signal,Execution_Signal,Position
2013-01-02,5993.25,6006.0498046875,5982.0,5982.60009765625,,,10.64990234375,24.0498046875,0.004012815198348142,,,,,,
2013-01-03,6009.5,6017.0,5986.5498046875,6015.7998046875,0.0027113836399281777,0.0027077144701615867,-6.2998046875,30.4501953125,0.005067009786587902,,,,,,
2013-01-04,6016.14990234375,6020.75,5981.5498046875,6011.9501953125,0.0011065649960479984,0.0011059532042860644,4.19970703125,39.2001953125,0.006515827555631307,,,,,,
2013-01-07,5988.39990234375,6042.14990234375,5977.14990234375,6042.14990234375,-0.004612584535034436,-0.004623255329017686,-53.75,65.0,0.01085431852581525,,,,,,
2013-01-08,6001.7001953125,6007.0498046875,5964.39990234375,5983.4501953125,0.0022210094826073945,0.0022185466869673303,18.25,42.64990234375,0.00710630337334424,,,,,,
2013-01-09,5971.5,6020.10009765625,5958.4501953125,6006.2001953125,-0.005031940005281732,-0.005044642846597446,-34.7001953125,61.64990234375,0.010324022832412292,,,,,,
2013-01-10,5968.64990234375,6005.14990234375,5947.2998046875,5998.7998046875,-0.00047728337205898974,-0.0004773973080222145,-30.14990234375,57.85009765625,0.009692325501204822,,,,,,
2013-01-11,5951.2998046875,6018.85009765625,5940.60009765625,6012.39990234375,-0.0029068713930493484,-0.0029111045491811488,-61.10009765625,78.25,0.013148388178724744,,,,,,
2013-01-14,6024.0498046875,6036.89990234375,5962.14990234375,5967.2001953125,0.01222422031951731,0.012150107904682364,56.849609375,74.75,0.01240859594849875,,,,,,
2013-01-15,6056.60009765625,6068.5,6018.60009765625,6037.85009765625,0.005403390414106646,0.005388844474855894,18.75,49.89990234375,0.008238929686485326,,,,,,
2013-01-16,6001.85009765625,6055.9501953125,5992.0498046875,6049.0,-0.00903972511263984,-0.00908083134121998,-47.14990234375,63.900390625,0.010646782173042508,,,,,,
2013-01-17,6039.2001953125,6053.2001953125,5988.10009765625,6001.25,0.0062230973863934835,0.006203813876608185,37.9501953125,65.10009765625,0.010779589275212192,,,,,,
2013-01-18,6064.39990234375,6083.39990234375,6048.2998046875,6059.85009765625,0.0041726894648748125,0.004164007938021129,4.5498046875,35.10009765625,0.005787892985534253,,,,,,
2013-01-21,6082.2998046875,6094.35009765625,6065.10009765625,6085.75,0.002951636210011932,0.0029472886846284353,-3.4501953125,29.25,0.004809036209865492,,,,,,
2013-01-22,6048.5,6101.2998046875,6040.5,6080.14990234375,-0.00555707639755787,-0.005572574388951168,-31.64990234375,60.7998046875,0.010052046736794246,,,,,,
2013-01-23,6054.2998046875,6069.7998046875,6021.14990234375,6052.85009765625,0.0009588831425146882,0.0009584237077469017,1.44970703125,48.64990234375,0.008035595182465716,,,,,,
2013-01-24,6019.35009765625,6065.2998046875,6007.85009765625,6046.2001953125,-0.005772708349228162,-0.005789434832539505,-26.85009765625,57.44970703125,0.009544171064849534,,,,,,
